Channel Name,Channel URL,Subscribers,Country,ICP Score,Lead Tier,Scoring Status,Highest Offer Type Found,Funnel Path,Why Qualified,Existing Offers,Communities Found,Funnel Weaknesses,Recommended Outreach Angle,Data Confidence,Endpoint Confidence
Andy Stauring,https://www.youtube.com/channel/UC11BGYIZzC_uZI6nrUiDqug,177000,US,84,A — Hot,SCORED,Mid Ticket,Free Lead Magnet → $497 Community → Course/Digital Product,"177,000 subs (strong); sells a mid-ticket product ($497 Community) — proven buyers; paid product + engaged community but NO high-ticket backend — large gap; has a lead magnet capturing emails","Course/Digital Product, Community, Lead Magnet",Yes — $497 Community,No high-ticket backend (the core opportunity) | No ongoing newsletter nurture beyond lead capture,"QUALIFIED — funnel ends at Mid Ticket ($497 Community), no HT backend found (endpoint conf High). Path: Free Lead Magnet → $497 Community → Course/Digital Product — pitch HT ascension offer",High,High
Wholesale Ted,https://www.youtube.com/channel/UCC8wczy7734jKPhiR2UkS9A,1470000,NZ,83,A — Hot,SCORED,Low Ticket,Course/Digital Product → Free Lead Magnet → Coaching/Mentorship,"1,470,000 subs (massive reach); sells a low-ticket product (Coaching/Mentorship) — proven buyers; paid product but no high-ticket backend above it; has a lead magnet capturing emails","Course/Digital Product, Lead Magnet",None detected,No high-ticket backend (the core opportunity) | No community to retain buyers | No ongoing newsletter nurture beyond lead capture,"QUALIFIED — funnel ends at Low Ticket (Coaching/Mentorship), no HT backend found (endpoint conf High). Path: Course/Digital Product → Free Lead Magnet → Coaching/Mentorship — pitch HT ascension offer",High,High
Austin Rabin,https://www.youtube.com/channel/UCX2GMM3MGAWFPkHvxqFa09g,209000,US,75,A — Hot,SCORED,Low Ticket,$97 Community → Membership → Community,"209,000 subs (large); sells a low-ticket product (Membership) — proven buyers; paid product + engaged community but NO high-ticket backend — large gap","Course/Digital Product, Membership/Subscription, Community",Yes — Membership,No high-ticket backend (the core opportunity) | No email capture at all,"QUALIFIED — funnel ends at Low Ticket (Membership), no HT backend found (endpoint conf High). Path: $97 Community → Membership → Community — pitch HT ascension offer",High,High
Saamir Mithwani,https://www.youtube.com/channel/UC4SgLFzWyODpF8Dy7BfRkag,103000,US,,,DISQUALIFIED — HT backend present,High Ticket,$50 Membership → Ht Qualification Form (Capital-To-Invest Screen),,,,,DISQUALIFY — funnel ends in HT (Ht Qualification Form (Capital-To-Invest Screen)). Path: $50 Membership → Ht Qualification Form (Capital-To-Invest Screen),High,Medium
Shahid Anwar,https://www.youtube.com/channel/UClVZMecYwQUV12kjf4RNXbg,1440000,US,,,"NOT SCORED — endpoint uncertain, manual review",Mid Ticket,$1000 Course/Digital Product → Coaching/Mentorship → $297 Community → $297 Coaching/Mentorship → $297 Course/Digital Product → Course/Digital Product,,,,,ENDPOINT UNCERTAIN — funnel continues behind a login wall we cannot see past; HT backend NOT ruled out. Manual review required. Path so far: $1000 Course/Digital Product → Coaching/Mentorship → $297 Community → $297 Coaching/Mentorship → $297 Course/Digital Product → Course/Digital Product,High,Low
Baddie In Business,https://www.youtube.com/channel/UCk2AvEjXzspL1FWaG7GYTNQ,1690000,US,,,DISQUALIFIED — HT backend present,High Ticket,Private 1:1 Offer,,,,,DISQUALIFY — funnel ends in HT (Private 1:1 Offer). Path: Private 1:1 Offer,Medium,Medium
Faruk Ilkhan,https://www.youtube.com/channel/UC2EjNLVn6JGEF3V8WLM6ivQ,48600,NL,,,DISQUALIFIED — HT backend present,High Ticket,Application Funnel,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: Application Funnel,Low,Medium
Dropship Breakthru,https://www.youtube.com/channel/UCHqVnacoBZrwbc-B3f8YyZA,11500,US,,,DISQUALIFIED — HT backend present,High Ticket,High-Ticket → Sales/Strategy Call → Free Lead Magnet → Coaching/Mentorship → Application Funnel → Course/Digital Product → $1897 Community,,,,,DISQUALIFY — funnel ends in HT (High-Ticket). Path: High-Ticket → Sales/Strategy Call → Free Lead Magnet → Coaching/Mentorship → Application Funnel → Course/Digital Product → $1897 Community,High,Medium
Davie Fogarty,https://www.youtube.com/channel/UC-JHxwWL4-WoqyQIYsBvTbA,912000,AU,,,DISQUALIFIED — HT backend present,High Ticket,Application Funnel → $25 Membership → $79 Community,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: Application Funnel → $25 Membership → $79 Community,Medium,Medium
Zain Shah,https://www.youtube.com/channel/UCNyiIBo0oLuBkaTlkMzhb7A,77600,GB,,,DISQUALIFIED — HT backend present,High Ticket,Coaching/Mentorship → $500 Membership → Application Funnel → $300 Coaching/Mentorship,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: Coaching/Mentorship → $500 Membership → Application Funnel → $300 Coaching/Mentorship,High,Low
Marcus Lam | High Ticket Dropshipping (AI),https://www.youtube.com/channel/UCXE-WRz9eQTeZ0YRhi8Vf7A,4290,unknown,,,DISQUALIFIED — HT backend present,High Ticket,Application Funnel → Sales/Strategy Call → High-Ticket,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: Application Funnel → Sales/Strategy Call → High-Ticket,High,Medium
Chirag Ecom ,https://www.youtube.com/channel/UCuhaoKjbElPjSU5jn3xReQw,202000,unknown,,,NOT SCORED — insufficient data,None Found,No funnel detected,,,,,NEEDS MORE DATA — Inspect manually: All 1 page fetches failed — site may block scraping,Low,Medium
Jordan Welch,https://www.youtube.com/channel/UC5deKm1RRbcoUIuLuSCFprg,2000000,US,,,DISQUALIFIED — HT backend present,High Ticket,Application Funnel,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: Application Funnel,High,Medium
Trevor Zheng | High Ticket Dropshipping,https://www.youtube.com/channel/UCLsPPSRugzAvdGS9vwR1UDw,9140,US,,,DISQUALIFIED — HT backend present,High Ticket,Application Funnel → Sales/Strategy Call → High-Ticket,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: Application Funnel → Sales/Strategy Call → High-Ticket,High,Medium
Ac Hampton,https://www.youtube.com/channel/UC3qB4xFJkl0EYoTVbhnn0OQ,657000,US,,,DISQUALIFIED — HT backend present,High Ticket,$25 Membership → Application Funnel,,,,,DISQUALIFY — funnel ends in HT (Application Funnel). Path: $25 Membership → Application Funnel,Medium,Medium
